Geneid	Length	SRR11206238	SRR11206239
21387	3257	0	0
629393	879	0	0
237911	6933	64	40
70422	5922	1552	997
327987	11787	1054	632
76892	4434	4576	4118
72508	7889	2078	1831
56427	2070	421	310
75909	2773	11359	9668
387140	92	0	0
100504632	669	609	449
217057	3133	1319	1123
67300	6144	25214	20582
67487	3724	1578	1312
319269	3365	4	7
77864	4902	816	735
66569	2484	1756	1361
74133	3221	950	741
270906	3827	12	22
66140	1349	616	478
723834	86	0	0
68729	5631	3605	2677
320472	6315	18	10
114714	2954	146	153
83560	4888	17	6
19842	164	2	2
19858	215	1	1
19860	215	0	3
19861	218	0	0
19859	215	0	1
100503535	1611	0	0
18952	1636	1706	1456
170749	5692	3487	2963
327992	4158	2	5
207742	4311	1332	840
68690	2705	4	0
20922	693	866	714
387160	64	0	0
207777	7616	166	120
17523	2546	0	0
76113	2927	96	48
380718	2365	460	330
13861	2691	0	6
258406	936	0	0
258408	936	0	0
258407	1084	0	0
68097	2819	5734	4042
110809	5262	11093	10285
22344	4521	6027	4126
70393	1504	28	36
103841	3189	2789	1979
64656	1302	1867	1517
74297	1219	0	0
76626	6819	1545	1574
100628571	92	0	2
193280	1056	360	275
11640	3911	2886	2281
73921	811	0	0
74617	2074	3831	3116
217066	812	39	19
72381	377	0	0
100504514	1427	0	0
12812	2607	212	175
217069	5563	1368	1213
56077	5208	624	580
414094	769	2	8
217071	581	3016	1996
18121	1922	0	2
214604	2665	19	9
382543	2238	16	22
18559	1971	342	296
67888	1764	347	251
67468	2661	688	457
217082	5665	7422	5996
20913	6009	2170	1792
69802	2259	1357	1008
71943	2093	1706	1259
73922	649	2	0
73470	2270	0	0
72605	3336	18	6
217109	2613	1025	856
103537	5231	640	455
18103	823	3109	2469
18102	1235	2455	1912
100862001	398	0	0
70834	7779	4375	3702
22057	2288	8008	6812
278507	3392	12	14
67684	3296	3096	2740
71452	3763	13733	11029
76408	5002	216	142
12291	8223	40	17
217116	2589	0	6
71889	3884	10513	7794
104601	2928	2042	1800
237926	4151	354	351
264895	3069	604	464
12643	1653	301	219
98238	2780	10032	7763
268465	2228	8	2
94064	730	1978	1696
217119	3424	1426	1146
432589	1681	0	0
217122	2693	6	6
544806	2187	0	0
544807	480	0	0
544808	1560	0	0
665174	489	0	0
432591	1357	0	0
100039739	1073	0	0
12842	4709	15	22
20391	1693	2	2
54388	796	4	0
217124	4330	826	608
100504649	540	25	17
217125	3318	440	335
18604	2263	12847	10416
16400	4853	2135	1314
13393	2606	2	0
13394	1820	0	0
320453	1663	0	0
93670	1248	0	0
217127	5966	4925	4053
215512	2317	1597	1323
110172	1169	3587	2897
20747	2882	19740	15632
104079	2093	84	87
18053	3409	26	19
100862044	717	0	0
18673	1799	2291	1607
544809	2246	19	6
432396	537	31	6
320616	3188	63	52
268469	2667	1245	764
237928	1910	65	72
66610	4075	135	107
14710	702	129	130
73906	1319	106	88
14422	4086	4	3
140486	8382	4	4
100526468	92	0	0
14607	649	0	0
27681	947	1578	1157
268470	3974	5926	4636
11951	868	1704	1464
76815	1556	4	0
237930	3206	4	0
15408	1313	0	0
432593	1945	0	0
193022	617	0	0
387191	102	0	0
15417	2701	0	0
15416	2645	0	0
15415	1269	0	0
15414	1322	0	0
15413	1896	0	0
723893	110	0	2
15412	2566	0	6
15410	3721	0	0
103889	1631	8	4
15407	2077	0	1
100038600	2063	0	0
78473	2190	7	5
69884	2495	0	0
74479	2581	758	592
12412	1274	1360	967
629750	683	26	17
18023	4867	29783	21927
56358	930	3183	2534
387170	73	3	0
80280	1875	2810	2329
100502635	2804	2	0
217138	1363	2153	1717
103711	2036	2288	1839
319371	2820	124	105
78912	3036	1170	1012
83395	3375	12	40
217140	1518	746	639
69297	1298	25	8
107732	1682	2495	2270
71240	3535	709	453
57765	2552	0	2
73174	3335	147	88
16211	5909	1589	1236
100502647	1392	0	0
19155	4143	4795	3634
67036	2431	2050	1634
217143	9276	30	16
192157	7015	669	488
58996	5450	1005	669
100141474	1425	12	15
56013	6965	213	181
69729	612	6	4
103551	2330	28	22
246198	7271	973	752
217149	742	1240	924
22658	2836	195	173
26446	731	2467	2030
108083	5053	62	54
67480	3307	1190	906
72215	624	3	0
65019	1062	417	367
100302498	128	4	3
16796	3433	4366	3415
68127	1189	165	152
72973	1681	32	19
72324	2905	178	132
217151	1563	37	43
12295	2455	162	145
19921	805	300	249
217154	3049	87	58
72194	8607	1625	1230
19014	7590	3120	2564
69131	8704	637	514
100628613	57	4	0
18013	3137	0	0
19049	1666	35458	29017
69338	1389	219	152
59045	2083	2838	2265
21393	948	32	54
18948	888	8	0
320655	2424	891	723
13866	4998	4787	3559
103742	744	8156	6407
14786	2397	1275	921
100862101	617	0	0
22780	4098	7	2
69376	1639	57	27
66612	2023	12613	9951
192852	902	4	6
450219	1477	0	0
76758	1666	0	0
57911	2726	0	0
100502779	1542	6	3
22123	2147	4862	3554
12985	1363	0	2
23989	3410	2538	1710
21833	2246	3164	2475
217166	2627	4767	3681
74026	4340	849	686
100037262	1401	36	35
192160	3742	2376	2039
268480	4163	177	126
68524	7589	479	371
23834	4701	28	16
19401	4131	738	564
353155	837	0	0
21973	5217	51	38
16010	2069	4117	3204
217169	4755	18	12
12775	1975	16	2
100862109	465	1	0
57376	2919	856	860
268481	2735	0	21
75706	1689	0	0
70810	1651	0	2
320864	2600	0	0
16675	1539	0	0
70843	1489	0	4
16661	2094	495	371
100504165	903	1	0
268482	1854	0	0
66809	1930	1	0
94179	1539	528	455
237934	1449	0	2
406221	1320	1	0
66380	732	0	0
66708	1031	0	0
69473	604	0	0
69664	1040	0	0
629873	1129	0	0
435273	879	0	0
75586	759	0	0
100041412	663	0	0
100041488	396	0	0
71453	830	0	0
100502803	807	0	0
665891	1011	0	0
68673	971	0	0
76444	978	0	0
546511	528	2	0
100040248	1018	0	0
68768	918	0	0
100040276	1200	0	0
665992	630	0	0
665998	1058	0	1
670464	618	0	0
670472	869	0	0
670482	777	0	0
69464	819	0	0
670496	691	0	0
100502865	919	0	0
435285	951	0	0
432600	1144	0	0
100415785	1096	0	0
16705	612	0	0
670533	1043	0	0
70831	971	0	0
670550	921	0	0
432602	935	0	0
435286	1077	0	0
100504183	1891	0	0
77914	761	0	0
71888	1679	0	0
16671	1581	0	0
16672	1605	0	0
16660	1581	0	0
16670	1673	0	0
53617	1722	0	0
16673	1666	2	0
16663	1314	1	0
16665	1720	3	0
16669	1375	348	147
107656	2580	0	0
16664	1660	580	424
16666	1565	0	0
16667	1511	0	6
68239	1547	7	0
20918	1213	13600	10927
14459	455	0	0
15114	3706	1276	997
16480	5009	9663	7187
66180	1869	3886	3224
14230	2603	1009	570
68106	2025	2831	2234
66720	2012	4	10
217194	2436	197	122
104112	4427	23658	21188
74407	2818	48	48
12799	2678	4128	3264
56354	2312	5564	4623
100502925	1599	88	76
71966	2013	534	370
278304	4090	159	78
80861	2412	892	834
14534	3048	1169	868
75482	726	12	0
19345	1573	825	760
380728	3784	0	3
15171	584	0	0
80860	2162	997	710
20851	5442	4635	3587
20850	3888	1471	1171
20848	4487	6905	5053
19285	3218	4712	4962
11975	4029	6664	4779
27419	2478	3597	2781
15485	1317	23	31
71743	2386	3371	2847
21428	1975	2771	2085
19183	972	211	168
67998	3306	1735	1261
103733	1609	2086	1532
103768	1777	193	99
217198	3007	1556	1209
12777	1725	18	9
53321	5360	62	68
14055	4194	8487	7248
54409	872	3886	2852
28084	1067	9384	7486
69847	4148	9620	7372
52469	718	8259	6745
68107	2228	367	318
56208	2031	20796	16540
19192	2620	8435	6762
237940	2540	86	106
11754	4396	118	75
14377	2245	2	0
69684	1334	2374	2262
73635	1461	797	563
217201	3216	3163	2549
100862158	1321	0	0
19942	734	64	56
70110	1360	6412	5252
26949	2732	1759	1387
100862149	744	2	0
11858	684	1365	1021
12189	6648	23	28
17966	5133	9677	8032
217203	2301	1010	807
666331	472	0	0
66599	1098	2006	1669
19848	187	2	2
80981	1382	380	318
217207	4319	1705	1284
18612	2336	87	64
17285	2208	42	39
73887	1185	0	0
74499	2066	0	4
72349	4204	9528	8128
75437	698	0	0
13384	2848	642	518
52685	2732	8	2
50997	4087	663	485
19064	480	0	0
217212	499	0	0
217214	2113	0	0
76547	1576	745	575
268490	1224	945	727
68401	1543	2792	2200
15184	3798	2411	1676
217216	2543	2	0
217217	1362	5	4
72053	2096	3328	2712
217218	3707	833	670
21429	4806	4518	3538
20533	4550	0	0
51799	3046	241	155
68066	1674	22100	16795
14824	2333	8898	6112
217219	3099	145	93
16399	3437	181	88
237943	6830	2337	1808
100040792	677	31	26
57265	3628	723	460
77132	1334	10	0
268491	4573	8	11
52715	2307	2158	1756
11488	5102	87	80
14615	2906	614	504
75689	735	1728	1088
20624	3333	5252	3836
73293	1800	82	66
66784	1563	0	2
14580	4072	1	11
70218	3337	22	14
23829	1246	360	350
69739	954	2	3
68087	1714	1565	1508
100862190	614	269	227
18107	1838	3784	3148
72469	3031	2848	2209
67131	2076	5488	4367
192231	3401	602	401
71059	1951	480	426
57778	3873	58	26
69441	1214	4	6
328019	1112	0	0
53859	4173	260	190
100862195	840	0	0
544817	5627	783	574
653030	2731	15	3
353047	5128	1435	1082
237954	3645	0	0
380730	4576	1	0
69444	884	0	0
104582	1072	0	0
56494	3078	9964	7821
399609	3313	0	1
22412	4519	0	0
22415	3115	8	2
18195	3766	4920	3930
667631	721	35	9
11841	2659	2554	2280
12921	2428	189	210
237958	2675	0	0
17762	5387	1849	1546
100303739	1618	31	42
76719	5510	3248	2578
100862243	916	0	0
217232	5783	1954	1440
17896	883	52	27
629959	351	142	132
16416	5781	420	340
70894	1744	2	0
52686	2619	720	451
73431	2414	456	341
24086	5475	2074	1821
17534	5801	1756	1424
632687	3621	0	0
77097	11860	1023	734
13056	2474	2225	1782
11421	5102	36	23
192775	2853	0	0
71833	5750	5445	4487
70207	1337	449	339
26406	3161	2573	1755
67803	2950	1212	831
72149	2543	874	537
67163	3270	15727	12544
72047	4012	4708	4042
56095	2865	1914	1437
19184	1277	11714	9120
83796	2869	2541	2060
75870	2985	2	0
100862279	314	0	0
14599	810	0	2
15985	1198	9	4
110880	6598	0	0
75573	789	1	2
15896	1142	685	414
78943	3976	470	567
100216537	73	47	32
21763	4942	15144	11827
18613	3305	2706	1796
380732	1320	41	26
50776	1577	191	136
13207	3520	19956	17142
100526469	67	335	296
320162	2727	467	341
66313	5331	1208	1126
16647	2038	11	14
69066	1100	314	280
207165	11488	1982	1384
100503350	681	2	0
68979	3161	2280	1945
100503362	727	2	3
71795	6350	6467	7096
100503397	876	2	2
66997	1723	6922	6038
442842	948	0	0
78455	6218	1761	1565
12299	1203	0	0
54377	984	14	10
100503414	1145	0	0
140723	3834	2	12
18750	8369	3492	2747
100862332	337	0	0
11818	1186	13	5
76380	3753	187	166
100503430	3012	1	2
12006	4260	490	516
268498	1078	0	2
19739	8531	48	12
67927	454	0	0
100036768	2765	134	93
14674	6197	8563	7213
320509	2700	0	0
13929	3082	2933	2379
100503496	1776	11	0
104681	4509	1673	1344
74008	3396	1248	973
52639	1817	772	545
19084	3323	39970	34014
208659	2541	6401	4839
69324	1470	4	0
73257	389	0	0
27404	6178	278	298
217258	5616	20	2
217262	6268	473	436
76184	5720	33	4
100862355	581	0	0
217265	8269	3095	2525
26399	2064	1033	852
16517	4014	4934	3223
16518	5448	1089	889
629967	696	25	20
217294	1952	1910	1275
20682	4146	11313	8272
100038732	870	13	15
71203	1940	0	2
72386	1848	2316	1910
319871	2446	186	150
69806	2742	1359	990
20606	1158	0	2
16834	3029	2693	1992
28081	2615	2308	1680
276852	2196	575	435
52670	1575	61	46
56699	3375	6287	4743
237979	6604	21	12
73536	395	2	0
319819	3402	4	2
67671	369	178	112
117160	3456	263	206
432611	2871	6	0
286942	3433	949	564
72014	2260	23	16
217302	1098	0	0
70355	4672	2496	1579
217303	4642	86	38
217304	2880	18	12
387565	690	2	0
217305	2440	17	22
140497	1139	161	95
629970	738	0	0
100043123	852	0	0
100043125	852	0	0
382551	738	0	4
217306	1949	6	8
58222	2806	832	808
246746	1885	28	24
26941	1922	4250	2885
66176	1130	845	733
320534	4566	1822	1516
14813	4895	51	18
14149	1866	1183	878
328035	1239	201	152
237987	2335	2	6
16470	3183	85	61
69602	2422	0	0
217310	3237	3957	2943
237988	3700	1328	927
68572	734	2999	2323
71679	574	6520	5406
70382	1766	4144	3270
432613	1932	0	4
100628623	100	0	0
217316	3020	2	10
276905	2249	412	321
50773	805	1447	1057
100503567	159	4	1
15374	1358	3986	3030
170930	998	106	83
445007	2159	2092	1712
260302	3681	2118	1695
50529	1324	2804	2351
69674	1841	4943	3664
67283	2792	2847	2275
14784	2624	3862	2866
100503586	416	16	7
100043184	483	0	0
71947	4996	2038	1360
140721	4722	2977	2316
76265	1972	1197	966
217325	3614	4217	3066
217328	7820	55	42
100861625	875	12	3
170472	3986	763	727
66528	940	522	402
68528	975	34	32
57230	2086	1552	1142
100503650	2355	4	2
192897	6169	1187	820
100038636	2078	8	0
14635	1506	3063	1954
100503677	1644	2	5
15081	1993	69	51
217331	3715	1596	1292
70450	3967	146	133
22378	1795	18730	14224
217333	2195	1497	1114
338364	3050	233	232
60441	1411	2740	2024
217335	5373	1472	1210
11430	3987	9596	8373
69535	902	1830	1562
69681	1427	21	17
14027	6398	294	178
217337	2526	3865	3154
14428	1940	0	0
53413	3344	4911	3957
15223	2578	0	2
217340	4655	785	635
319370	1482	125	86
217341	2162	0	0
67763	1868	8525	6628
20698	2296	214	58
217342	5192	1258	1036
11298	1455	0	0
217344	3934	665	458
114886	2331	475	429
100038570	801	296	245
66293	1997	210	189
100216536	78	2	0
100216531	77	1	0
100216538	76	0	0
20446	2033	14007	11221
634720	1581	2	0
193217	3263	44	25
20445	2392	2	1
67622	1725	1586	1283
107817	1668	2648	2087
74319	1039	916	775
20382	1903	10931	8310
69900	3128	4605	3471
268510	4254	0	4
76972	600	1581	1336
74136	5574	6513	4470
53860	4263	5973	5079
78403	1344	163	124
217351	8726	763	612
217353	3144	3824	3259
217356	2908	88	62
77727	1078	4	0
20973	1524	5247	4184
21877	1369	20	17
71562	2332	140	89
11799	3416	32	21
546519	1820	0	0
71776	1840	409	386
100503754	1850	23	19
12702	2732	119	53
100861684	757	1	0
74451	2298	1714	1346
69926	14889	26	14
791367	3181	0	0
100503797	2158	0	0
19157	3273	3987	3166
72344	5609	1033	775
21858	3622	40990	31880
58251	1978	4	17
100861706	1278	0	0
19039	2168	6715	5152
76025	3025	5434	4314
56745	4519	414	345
100126224	1648	0	2
217364	3922	469	376
52897	4545	3	7
238011	1370	0	0
12416	3740	345	253
30951	1393	434	373
12418	5197	1457	1321
207592	6988	1052	798
207607	4979	7	5
14387	3797	8618	5980
192170	1463	2354	1653
170720	3958	103	80
27029	4324	1078	836
268512	2692	672	444
100316690	90	4	1
672511	16939	611	471
338371	5277	565	488
18164	5284	6	30
100503830	1705	0	2
74370	6932	989	799
319454	1290	10	0
208092	1561	1177	916
100861714	784	0	0
108100	3610	1089	804
11302	5743	593	597
723844	98	0	0
100526518	87	0	0
12009	3578	531	413
78777	2779	647	522
208501	494	2600	2232
72055	5413	15841	12397
100861721	752	7	7
76377	1334	82	39
100042332	1707	417	267
268515	10727	282	196
100503912	575	43	18
100503938	878	0	1
11465	1894	2483	1933
66838	619	399	372
238021	1718	24	13
71885	3175	1248	844
217365	4685	7018	5442
208634	2064	4499	3531
18588	899	8	9
66431	810	313	310
67291	2760	1711	1365
70317	2023	1317	1076
15239	2908	3930	2903
56282	949	1686	1326
100861766	1104	10	6
27376	4000	1138	777
667716	844	0	0
14527	1929	2	0
192173	1205	5112	3862
68701	775	12	20
100504013	912	0	1
18453	2538	11415	8482
192662	2732	23461	17317
21681	1132	2555	1909
66156	3495	4488	3720
208990	549	2	8
68671	1835	4044	3496
209011	1715	2935	2206
17134	1639	1661	1252
100504040	1275	122	110
209027	2914	55	46
68515	2307	9	8
77583	2020	541	417
68938	1872	3393	2660
20892	636	1688	1264
217366	2464	2177	1776
170758	1078	110	42
67880	918	876	785
12409	1021	593	475
111241	1599	487	338
19719	2118	2078	1539
209318	2071	1470	1151
68730	1909	1802	1437
100861787	1002	2	0
14104	9938	4167	3641
71276	3390	284	219
80879	2577	333	348
104318	3749	6815	5593
12516	1042	0	2
58210	2322	2	4
209588	1615	0	0
637008	1771	6	2
70956	2046	0	0
73679	1740	0	0
217369	1703	0	0
66179	1243	2663	2279
238023	2379	332	205
217370	2591	2206	1727
67608	4412	10911	9016
68837	5032	1826	1494
66840	2344	3834	3320
217371	1865	127	110
238024	2028	2288	1834
63828	4358	642	519
108903	3912	3019	2303
319530	3243	1649	1556
210004	2851	427	326
210029	2468	3168	2303
74675	3238	0	2
674842	3069	3	4
74173	1073	621	577
19325	3513	11772	9662
16570	6849	1392	1103
100043040	3300	110	94
75302	8892	1225	1061
13528	2645	4084	3154
100503871	3331	40	26
13435	9852	1828	1255
100038522	1385	0	0
18976	1007	52	28
668212	6547	362	412
217378	4713	726	606
104111	4730	202	100
52504	4343	518	329
69709	4013	1860	1378
17977	7329	4111	3416
100041995	785	34	21
100042014	748	4	3
20403	6216	3528	2451
74855	2833	8	6
207921	2886	10	12
382562	1306	18	14
626534	1343	200	166
66055	1116	3142	2986
14226	980	137	115
238037	3180	366	192
432628	3125	119	42
217379	2511	9823	7404
320817	8102	634	519
208439	7048	377	315
72669	1258	157	172
672098	820	0	0
73575	339	0	0
238055	13909	0	8
68832	3082	1981	1923
238057	1399	2	0
58240	2958	1197	856
724112	1216	0	0
11852	2228	845	584
328059	2445	2	0
80913	6686	2177	1831
208941	2647	4	6
20969	3057	78	37
100862277	1032	0	0
319503	3869	0	0
17775	2130	44489	36387
17182	3014	0	0
74682	4392	3471	2824
75516	1000	451	467
69420	476	0	0
23967	2011	20	12
70881	1855	2	0
105014	1472	3264	2841
238074	786	483	394
71457	736	0	2
238076	3059	415	265
56184	567	1	0
73304	744	0	0
209334	3283	4	4
67241	5603	2726	2318
26950	1936	0	2
74712	1935	0	0
209550	3175	0	0
628327	507	13	9
627110	704	11	6
76820	4850	3917	3151
70858	1341	0	2
18109	2596	154	133
104721	2469	9016	7879
71169	7240	1822	1393
105005	3380	4	10
791361	2842	0	0
73972	806	0	2
217410	4198	644	429
14245	5725	2525	1896
18217	1547	0	0
268527	8260	228	190
50496	2496	4208	3049
19878	8012	3616	2914
217430	2305	1791	1438
73667	1798	3	2
382571	4789	4	0
71853	2125	15392	13512
68775	1597	693	595
217431	2986	552	367
100526470	83	0	0
100503365	328	0	0
18263	2547	1782	1290
53602	1561	1975	1515
668525	1485	320	245
245297	3232	94	62
668539	972	0	0
100043324	724	1374	1111
236366	2542	0	3
668558	2349	10	18
668413	581	0	3
546524	2616	0	0
544848	509	0	0
629055	830	0	0
100042706	1104	5	2
100042727	1824	0	0
668605	564	0	0
100861711	1290	68	43
668455	738	1	2
100503846	632	0	0
675713	573	0	4
69513	1727	0	2
382686	632	2	0
100503913	896	1	1
211914	5679	715	682
16413	1874	2594	2138
54451	2560	4485	3608
67732	926	1482	1146
11491	4410	4387	3517
22630	2110	5494	4637
100043407	885	157	99
628850	1263	1	0
434693	738	8	8
100043416	1176	0	2
69732	1407	0	0
100862386	525	0	1
668662	1886	10	3
100861601	1245	0	1
66808	2268	5	3
668714	971	0	0
21340	2019	1166	1033
195733	3530	256	185
194655	3982	1211	714
12879	1838	48	23
20135	2180	119	95
100861907	474	0	0
67216	2802	7286	5923
77480	7402	9163	7194
15902	1272	4477	3740
432641	1115	2	2
100502727	342	0	0
74930	550	0	0
108089	5163	371	369
58185	3785	717	645
22169	3189	1461	1280
100504347	1973	0	1
636791	2087	70	19
20666	8451	735	632
328069	2998	0	0
68511	1434	0	0
94041	1460	1	0
71693	1383	11	2
20115	961	151	107
19819	1457	773	556
104923	1676	8956	7181
217449	4259	3043	2188
380752	1692	1424	1228
100504402	1291	0	2
17933	7523	0	2
328075	3057	0	0
69675	6614	444	347
22018	3282	4	0
268534	2337	0	4
69566	1547	0	0
211986	2958	4863	3702
100294583	1507	0	0
11431	3221	292	234
24057	1736	726	642
104943	2670	413	317
629667	210	0	0
16777	5778	6357	4988
13382	2243	9115	7423
13487	2628	0	1
104836	4007	1166	1027
23985	3083	7673	2985
12033	2008	3224	2897
71916	1768	128	132
238123	2997	1039	822
73010	4587	81	10
73389	4240	13735	11103
19088	3358	4729	4097
100504461	1076	5	4
30955	6954	195	115
100504475	298	13	5
72123	4155	725	773
59027	4547	6044	5530
100504486	2804	498	503
74076	1633	20	10
19027	4689	12547	9702
68764	2953	0	2
320046	1551	56	21
380753	4278	949	793
100504517	1831	8	0
75040	675	0	0
28071	2324	596	471
114712	886	0	0
22160	1630	301	260
100861990	2847	0	0
79221	4428	120	82
75456	1676	0	0
217463	6226	6642	5632
100169866	1859	0	2
751520	87	0	0
11622	5494	1898	1584
71581	1058	2	0
403205	819	35	55
23795	760	6	3
66109	1923	5358	4093
100862018	317	0	0
432649	1451	104	104
66912	1871	716	551
217473	2446	2707	2311
71156	1323	0	0
66042	1751	609	485
75847	2690	659	499
100628578	74	0	0
17286	2348	6	14
319660	2155	1169	1051
217480	5544	100	75
73867	919	1	0
14009	4223	4375	3828
11861	3807	3982	2969
20259	2999	239	203
380755	1213	10	4
15982	1816	2557	1968
100316693	100	0	1
629820	401	14	7
246196	2454	1355	1087
238130	8072	676	583
93757	1177	322	280
16981	3185	83	46
27362	1865	5284	4771
100039062	3025	13	17
67452	4406	13408	12626
319504	7581	6938	6055
217517	4325	701	725
664883	7000	36	30
217536	1728	426	399
15228	3985	27	6
67293	854	2	0
620583	2931	14	0
69054	708	0	0
18760	3778	485	301
217558	6726	564	513
76983	2091	4510	3958
12810	2683	21523	19571
94186	4164	9117	8111
11782	1113	1261	1018
207304	8988	4093	3346
544864	3627	455	366
320487	7761	2552	2194
328092	2564	1088	785
14762	1388	0	0
76826	1193	389	344
11855	5197	8886	7592
73278	304	0	0
238161	10263	42	36
27386	5879	33	10
67335	282	0	0
112407	2676	32	50
665239	591	0	0
100038648	3622	0	0
104725	1363	14999	10686
100316682	80	0	0
66266	1043	2477	2133
72183	1879	4488	4027
12632	2940	6179	4965
217578	6179	469	363
72658	1187	780	623
665137	778	126	107
24067	4264	246	154
73385	3863	0	0
100039815	912	0	0
665155	3286	0	0
100101807	3863	0	0
100039830	912	0	0
100101806	2516	558	459
100503822	1075	223	168
59032	2395	774	634
66132	3117	709	601
26443	997	6599	5204
18035	1579	7547	5228
79459	1575	97	91
56856	3102	2	4
56784	7904	3298	2421
52592	2566	2285	1943
100503961	1221	0	0
217588	1509	1150	824
621837	231	1837	1461
104798	2288	0	0
21869	2865	0	0
97836	617	0	0
18094	1260	0	0
18511	2574	2	0
217593	2766	20	0
328099	4006	2583	2234
73490	1454	372	283
100504018	1480	0	0
100040044	1040	0	0
15375	3188	0	0
70846	1475	4	0
100504027	1426	4	0
100503562	3217	3	0
20605	3869	0	0
66864	4539	759	586
100504043	3093	30	30
20334	4108	4387	3728
66603	1106	472	456
78232	1255	3234	2796
18949	3469	3832	3243
338320	1628	2	0
217615	3082	7117	5737
70611	3446	3019	2383
100504078	1246	1	0
100504101	1089	2	0
238205	3726	468	362
73309	521	0	0
623046	3566	0	0
217648	1463	172	154
66689	2854	669	506
328108	6434	1908	1339
328110	4068	3249	3058
30795	945	4218	3586
104806	7775	378	209
217653	4017	28	18
70948	2228	4	3
238217	1023	0	0
320772	9834	6	8
100316870	12530	0	0
20090	390	107	72
69706	1501	8	6
66483	517	1736	1451
217664	2616	3728	2989
109065	2639	574	593
414085	2546	575	454
18974	1695	92	46
271005	1949	647	611
69554	1946	5662	4715
66244	3722	5237	4442
11845	3731	7875	6163
76062	1037	70	57
207965	1027	315	232
20663	5612	3705	2660
217666	3338	1397	1233
68055	1485	2277	2124
71091	1689	1663	1467
751538	110	0	0
74724	1421	86	55
399510	4454	5004	4392
70934	1852	29	24
73991	2818	837	717
100040999	628	0	0
64010	2524	763	844
18080	10344	811	687
791312	2278	18	2
100504285	1080	0	0
110095	2821	1399	1404
414124	1296	0	0
94090	7430	15	0
72736	2320	4755	4079
100861697	1220	80	55
319710	4662	1421	997
56444	4022	6026	5015
19167	1434	1380	1080
73204	1589	654	656
238247	5780	1949	1574
75266	596	6	5
30056	1117	689	548
76967	5763	724	571
59036	3761	174	108
67348	637	0	0
73815	767	0	0
208846	6004	2090	1541
238252	1374	8	13
67217	1705	127	81
104771	1976	4818	4384
73936	2630	0	0
104001	3710	2295	1541
78257	5247	118	100
67708	4420	2064	1565
66375	1304	3664	2934
19042	2789	4351	3746
100861726	1074	0	4
75801	1910	2	2
20476	3956	0	2
20471	2849	1741	1271
20474	5572	1182	901
17420	2505	1204	922
76357	1669	757	614
625098	2959	232	182
380765	689	0	0
238257	3282	5148	4101
73644	1039	3	13
18755	3301	641	467
666385	682	2	0
15251	4761	46423	41333
100504452	3947	186	161
277089	675	28	14
75627	2125	878	796
238266	2705	0	1
100504476	1161	0	0
74284	1046	0	0
386753	2995	2	0
238271	4061	0	0
80837	2358	4457	3293
217674	1614	2	1
26932	4810	2362	2010
72338	2981	218	129
665931	832	0	0
81535	3324	11534	9906
319565	21718	8119	5488
100628610	83	0	0
13983	3362	75	81
80384	2246	0	0
108156	3324	1784	1276
238276	6685	25	10
109929	1777	329	284
268564	3987	1967	1719
100504512	984	39	42
15512	2683	1318	898
210762	1453	8	6
100041694	893	335	275
100628604	79	1	0
263406	4955	815	618
100504549	540	35	15
20741	10394	1420	1178
211151	641	4527	3624
14776	1067	818	351
104886	3126	2742	2081
110606	2560	2235	1976
17187	2005	3245	2927
53618	3982	2617	2241
626215	531	0	0
268566	3402	1842	1511
70897	1778	2	1
56217	5515	3530	2596
73834	1410	14452	12170
13665	3152	2470	2252
27260	1551	22	33
268567	3961	698	460
211945	6439	1422	1064
110417	2353	1557	1268
11847	1417	2604	2043
53612	1281	10725	8889
17252	1574	876	856
77974	1674	54	106
211978	9368	1020	707
19363	2837	42	26
12192	2984	2550	1964
69548	4845	771	668
109711	3739	18701	17377
320808	5707	2305	1751
100217447	124	0	0
97827	3323	3001	2556
69522	508	1	0
108760	3920	34	0
13877	812	322	230
328133	5230	5738	4798
68354	941	4	0
217682	3527	51	42
380768	4399	6	2
217684	5065	6736	5529
67340	377	0	0
100504661	1142	41	24
20384	1653	11161	10049
20493	2102	11	1
64075	3496	2836	2071
100526532	84	0	0
110893	5068	155	104
100042143	2865	8	0
214321	2496	32	8
11498	2330	18	9
66272	1997	1225	1192
100504690	622	0	0
24071	10398	6522	5146
56622	2911	22	4
69792	1004	1247	1054
100504704	757	0	0
69480	2042	27	4
338372	11896	125	113
54604	12139	1550	1422
217692	7701	6060	4850
50779	2626	105	61
791340	968	0	0
74283	1082	0	0
70127	1298	16	6
73828	2182	1225	1080
217695	3869	1805	1334
67039	4244	3884	3098
19164	3023	7056	5666
170721	4375	537	531
18222	1962	2526	2179
71952	2346	345	268
171210	2200	463	310
26897	1559	1158	763
171282	2325	20	18
171281	2594	2	1
217698	1518	11	4
217700	1822	87	93
105000	5765	362	256
70481	2359	81	69
238317	7373	648	634
100502697	3342	25	28
77219	3290	8091	7373
52708	5236	2382	1831
217705	3357	367	274
217707	1602	1290	940
12499	4990	3864	3017
72873	2190	70	68
66381	1379	571	473
104776	3346	7466	6377
100861863	582	0	0
217708	2144	1436	1209
12677	3180	0	0
19300	2527	695	577
432677	3608	0	0
627191	2499	0	0
67963	3262	13528	10287
74316	868	4276	3757
16997	6603	780	626
100303738	3954	16	6
68497	5434	2438	2058
73736	716	1372	1188
56531	7034	956	761
100502763	1133	25	15
73422	2682	214	144
78920	2767	5172	3975
